taxon	max	min	oneSigma_rangeMax	oneSigma_rangeMin
TS01_LEpigrav_ASH_Nadap_DobosiEtAl1988_AR_na_3_pseudo_no_18	15637	0	15758	15534
TS1_Cres_GBS_GoughsCave_Jacobi2004_AR_p_1_pseudo_no_1	14818	0	15110	14367
TS1_Cres_GBS_KentsCavern_Bartonetal2003_AR_d_1_pseudo_no_5	14226	0	14824	13488
TS1_Cres_GBS_RobinHoodsCave_Jacobi2004_AR_d_1_pseudo_no_1	14463	0	14805	14122
TS1_Cres_GBS_SunHole_Jacobi2004_AR_na_1_pseudo_no_1	14662	0	15151	14315
TS1_Cres_GBS_ThreeHolesCave_BartonRoberts1996_AR_na_1_pseudo_no_1	14146	0	14776	13795
TS1_EAzil_CH_HauteriveChampreveyres_Leeschetal2004_AR_d_1_pseudo_no_10	14452	0	15056	13802
TS1_EAzil_SWF_Murat_Lorblanchet1985u1996_AR_na_1_pseudo_no_2	14804	0	15206	14437
TS1_FMag_IBC_SantimamineSlnc_LopezQuintana2011_AR_na_1_pseudo_no_17	15263	0	15362	15136
TS1_FMag_IBM_ParcoII_Langlais2007_AR_na_1_pseudo_no_20	15510	0	15896	14526
TS1_Ham_NG_Meiendorf_Rust1937_AR_d_1_pseudo_no_6	14367	0	14959	13613
TS1_Ham_NG_Poggenwisch_Rust1958Taf44_AR_na_1_pseudo_no_24	14678	0	14941	14115
TS1_Ham_PL_Mirkowice33_ChlodnickiKabacinski1997_AR_na_2_pseudo_no_1	14266	0	14780	14084
TS1_Hav_SS_SlotsengC_HolmRieck1992_AR_na_1_pseudo_no_2	14613	0	14890	14301
TS1_LEpigrav_ASH_Zoeld_BeresEtAl2020_AR_p_1_pseudo_no_1	15448	0	15735	15072
TS1_Mag_BOMO_Hostim_Vencl1995_AR_d_2_pseudo_no_30	14644	0	15282	13818
TS1_Mag_BOMO_Pekarna_Valoch2001_AR_na_1_pseudo_no_7	15068	0	15357	14475
TS1_Mag_BSN_BoisLaiterie_OtteStraus1997_AR_NA_2_pseudo_no_3	15038	0	15313	14618
TS1_Mag_BSN_TroudeChaleux_Otte1994_AR_D_1_pseudo_no_16	15175	0	15647	14342
TS1_Mag_PL_Klementowice20_WisniewskiT2015_AR_na_9_pseudo_no_1	15182	0	15302	15040
TS1_Mag_PL_Wilczyce10_Krolik2014_AR_na_4_pseudo_no_1	15319	0	15914	14850
TS1_TransMag_SG_Felsstalle_Kind1987_AR_d_1_pseudo_no_9	14674	0	14980	14456
TS1_TransMag_SG_HelgaAbri_Hess2019_AR_d_1_pseudo_no_16	15470	0	15768	14851
TS1_TransMag_SG_ZigeunerfelsFG_HornauerJahnkeNoack2019_AR_d_1_pseudo_no_1	14238	0	14804	13815
TS1_UMag_IBA_LapadosCoelhos4_Gameiroetal2020_AR__pseudo_no_1	14167	0	14241	14064
TS1_UMag_NF_EtiollesQ31_ChristensenValentin2004_AR_d_1_pseudo_no_3	14293	0	14787	14112
TS1_UMag_SWF_BoisRagot_Langlais2018_AR_na_1_pseudo_no_22	15024	0	15185	14899
TS1_UMag_SWF_BoisRagotniv5_LeLiconJulien2005_AR_d_1_pseudo_no_7	15024	0	15185	14899
TS1_UMag_SWF_Murat_Langlais2018_AR_d_1_pseudo_no_1	14804	0	15206	14437
TS12_EAzil_CH_AbriNeumuhle_Sedlmeier2015_AR_na_1_pseudo_no_3	13978	0	14203	13794
TS12_EAzil_NF_LeCloseauLocus4_Bodu1998_AR_na_1_pseudo_no_2	13864	0	14094	13094
TS12_EAzil_SWF_Imperatrice_Naudinotetal2017u2018_AR_d_1_pseudo_no_8	14409	0	14825	13808
TS12_LEpigrav_NEI_GrottaClusantin_PeresaniEtAl2008_AR_na_2_pseudo_no_2	13935	0	14167	13607
TS2_AzilTECE_ASH_Elsbethen_Rettenbacher1998_AR_na_1_pseudo_no_1	13268	0	13593	12929
TS2_EMag_IBM_HortdelaBoquera_GarciaArgueellesetal2020_AR_na_1_pseudo_no_1	13725	0	14155	13520
TS2_EMag_IBM_Roureda_Roman2012_AR_na_1_pseudo_no_4	13234	0	13298	13173
TS2_EpiMag_BOMO_Kulna4_Valoch1998_AR_d_1_pseudo_no_6	13346	0	13761	12994
TS2_Feder_BSN_MilheezeHutseberg2_Rozoy1978_AR_P_1_pseudo_no_1	12842	0	12959	12726
TS2_Feder_BSN_Rekem_DeBieCaspar2000_AR_P_1_pseudo_no_1	13245	0	13395	13100
TS2_Feder_BSN_WestelbeersZW_Snijders2000_AR_D_1_pseudo_no_3	13384	0	13441	13325
TS2_Feder_NG_Weitsche_Veil2012fig2_AR_p_1_pseudo_no_2	13714	0	13976	13506
TS2_Feder_SS_SlotsengB_HolmRieck1992_AR_na_1_pseudo_no_5	14121	0	14293	13894
TS2_FMag_IBA_LapadosCoelhos3_Gameiro2012_AR_d_1_pseudo_no_2	13518	0	13589	13463
TS2_Hav_NG_AhrenshoeftLA58d_Weberetal2010fig7_AR_d_1_pseudo_no_3	13917	0	14014	13805
TS2_LPal_SG_ZigeunerfelsDE_HornauerJahnkeNoack2019_AR_d_1_pseudo_no_11	13773	0	13988	13609
TS2_Mag_BOMO_Kulna6_Valoch1998_AR_d_1_pseudo_no_7	14663	0	15271	12848
TS2_PAzil_IBC_AntonKobaVIII_ArmendarizGutierrez1997_AR_na_2_pseudo_no_24	13630	0	13986	13312
TS2_Wito_PL_NowaBiala1_ValdeKraszewska2015_AR_d_1_pseudo_no_1	13166	0	13230	13104
TS23_AzilTECE_ASH_Seewaende_Gehlen2001_AR_p_1_pseudo_no_1	13382	0	13596	13117
TS23_EAzil_CH_GrottedeBichon_Chauviere2008_AR_d_1_pseudo_no_5	13463	0	13759	13254
TS23_LAzil_NF_LeCloseauLocus14_Bodu1998_AR_na_1_pseudo_no_6	12657	0	12832	12482
TS3_AFeder_GBS_MotherGrundysParlour_Armstrong1925_AR_na_1_pseudo_no_5	13149	0	13318	12923
TS3_AFeder_GBS_PinHoleCave_JacobiandHigham2009_AR_d_1_pseudo_no_1	14720	0	15042	14173
TS3_AFeder_GBS_PixiesHole_BartonandRoberts1996_AR_na_1_pseudo_no_1	13771	0	14045	13468
TS3_Brom_PL_Rotnowo18_Galinski2007_AR_d_1_pseudo_no_1	12775	0	12824	12727
TS3_Brom_SS_Bromme_Mathiassen1946p1_AR_na_1_pseudo_no_5	12704	0	12755	12624
TS3_Brom_SS_Trollesgave_Fischer1990_AR_na_1_pseudo_no_3	12898	0	13087	12729
TS3_EAzil_IBC_LosAzulesUnit3_FernandezTresguerres1980_AR_na_1_pseudo_no_3	12416	0	12693	12107
TS3_EpiAhr_BSN_Remouchamps_Dewez1974_AR_P_2_pseudo_no_3	12301	0	12829	11939
TS3_LEpigrav_NEI_LaCogolaSU19_Cusinato2003_AR_p_1_pseudo_no_1	12511	0	12732	12103
TS3_LEpigrav_NEI_PaluEchen_Dalmerietal2013_AR_d_1_pseudo_no_4	12143	0	12438	11945
TS3_LEpigrav_NEI_RiparoDalmeripossiblylayer15_AgogueDalmeri2005_AR_na_2_pseudo_no_5	13326	0	13407	13245
TS3_LEpigrav_NEI_RiparoDalmeriUpperlayers_Bassettietal1998_AR_na_1_pseudo_no_21	13075	0	13231	12922
TS3_Sauv_IBM_CingledelAigua_Roman2011_AR_na_1_pseudo_no_18	12544	0	12661	12478
TS3_Sauv_IBM_Pena14_Sotoetal2019_AR_na_1_pseudo_no_13	12004	0	12469	11643
TS3_Wito_PL_Rotnowo18ll_Galinski2007_AR_p_1_pseudo_no_1	13003	0	13093	12927
TS3_Wito_PL_Witow5Cassemblage1_Chmielewska1978_AR_d_2_pseudo_no_1	12789	0	12963	12624
TS34_LAzil_IBA_Fariseu4_Aubry2009_AR_na_1_pseudo_no_10	12550	0	12614	12482
TS34_LAzil_IBA_FariseuSU4_Gameiroetal2020_AR_na_1_pseudo_no_2	12550	0	12614	12482
TS34_LPal_SG_BadBuchauKappel_Joachimetal2015_AR_p_1_pseudo_no_2	11525	0	11687	11398
TS4_Ahr_SS_SyltholmVII_Mage2019_AR_na_1_pseudo_no_1	11493	0	11683	11340
TS4_AzilTSG_ASH_Unken_Windisch2014_AR_d_1_pseudo_no_1	13157	0	13590	12736
TS4_Bell_NF_Alizay_Biardetal2015_AR_na_1_pseudo_no_6	11379	0	11598	11267
TS4_BeurA_SG_JagerhaushohleSchicht13_Taute1971_AR_na_1_pseudo_no_30	11203	0	11599	10787
TS4_ELab_SWF_PortdePenne_Langlais2020_AR_d_1_pseudo_no_5	12208	0	12594	11653
TS4_EpiAhr_PL_Bolkow1_Galinski2018_AR_p_2_pseudo_no_1	11020	0	11192	10816
TS4_ESauv_NEI_RomagnanoLocIIIlayerAE_Bartolomeietal1984_AR_na_1_pseudo_no_45	11099	0	11395	10721
TS4_LAzil_IBA_Bocas0_Bicho1999_AR_na_1_pseudo_no_1	11383	0	11810	10892
TS4_LAzil_IBC_Perro2_GonzalezMoralesDiazCasado19911992_AR_na_1_pseudo_no_4	11784	0	11994	11405
TS4_LEpigrav_NEI_LaCogolaSU18_Cusinato2003_AR_na_2_pseudo_no_4	11235	0	11267	11191
TS4_REpigrav_ASH_Altwasser_JagherFischerMorel1997_AR_na_3_pseudo_no_1	11751	0	11997	11345
TS4_Sauv_IBM_Filador4_Romanetal2021_AR_na_1_pseudo_no_23	11262	0	11747	10568
TS4_Swid_LT_Kabeliai2_Ostrauskas2002_AR_d_1_pseudo_no_1	11351	0	11692	11179
TS4_SwidAhr_PL_Kochlew1_Cyrek1996_AR_d_2_pseudo_no_1	12051	0	12583	11740
TS4_SwidAhr_PL_WojnowoAcutIII75_Kobusiewicz2016_AR_d_4_pseudo_no_1	12094	0	12434	11823
TS45_FBT_GBS_ThreeWaysWharfCWest_LewisandRackham2011_AR_p_1_pseudo_no_14	11672	0	11943	11338
TS5_EMeso_GBS_StarCarr_Milneretal2018_AR_na_1_pseudo_no_4	11018	0	11201	10751
